eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss
96.6,167.37269943685678,1027000,,,,,,4.442264080047607,5010,151.32476806640625,0.2,0.21136726,0.0003,0.7985321432352066,-5.587408070266247,0.54775390625,221.83689866065978,0.045958451891783623
138.8,228.3182785973244,1028000,,,,,,,,,,,,,,,,
,,1028592,262.96,27,32192,429,427.32364206,,,,,,,,,,,
102.2,162.84744707119899,1029000,,,,,,4.470981597900391,5020,68.28375244140625,0.2,0.4400328,0.0003,0.785221129655838,-5.60469491481781,0.596044921875,158.92593200802804,0.05401120550523046
102.8,165.69965095008956,1030000,,,,,,,,,,,,,,,,
,,1030640,230.38,27,32255,430,370.22847317,,,,,,,,,,,
146.6,233.25283770451932,1031000,,,,,,4.575940132141113,5030,19.947830200195312,0.2,0.67868364,0.0003,0.763679102063179,-5.626932233572006,0.653759765625,174.12523749172686,0.13075992753729224
134.4,208.10677830225615,1032000,,,,,,,,,,,,,,,,
,,1032688,192.7,27,32324,431,306.62191438,,,,,,,,,,,
145.2,182.68579405552518,1033000,,,,,,4.650941848754883,5040,30.17348861694336,0.2,0.6942202,0.0003,0.7064211666584015,-5.668549753725529,0.67802734375,164.64206507205964,0.08260932557750493
234.0,290.3165263656054,1034000,,,,,,,,,,,,,,,,
,,1034736,181.47,27,32397,432,279.79257637,,,,,,,,,,,
150.0,166.16857170296788,1035000,,,,,,4.726478099822998,5050,39.32101821899414,0.2,0.8792066,0.0003,0.32426196336746216,-5.705213992297649,0.741015625,171.04762993454932,0.18590067274635658
166.8,183.25097550278733,1036000,,,,,,,,,,,,,,,,
,,1036784,162.88,27,32465,433,244.50877530000002,,,,,,,,,,,
150.6,182.0948521734048,1037000,,,,,,4.8567070960998535,5060,35.938316345214844,0.2,0.45106876,0.0003,0.669964075088501,-5.7543014854192736,0.633251953125,108.92970225811004,0.10126117004838306
152.0,179.75779023511714,1038000,,,,,,,,,,,,,,,,
,,1038832,155.06,27,32534,434,224.01302491999996,,,,,,,,,,,
154.0,187.2500152122462,1039000,,,,,,4.963313102722168,5070,19.77806854248047,0.2,0.34710377,0.0003,0.8141989260911942,-5.805562210083008,0.535546875,65.00953694880009,0.06783672972233035
