eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std
0.308676255759201,233000,160.0,,,,,,1130,0.5822831988334656,-0.04417421657999512,0.2,0.668603515625,1.2211319512454792,0.558332,-1.82341503277421,0.0003,0.004965916275978088,0.5863938331604004
3.4315127794921865,234000,160.8,,,,,,,,,,,,,,,,
,234880,,-4.088956130000001,60,163.21,4179,29,,,,,,,,,,,
-0.8134810021445447,235000,161.0,,,,,,1140,0.5124614238739014,-0.032726425293367355,0.2,0.67275390625,1.543294684914872,0.7422106,-1.7522695209830998,0.0003,0.009545132517814636,0.5676673054695129
4.246580766914121,236000,159.6,,,,,,,,,,,,,,,,
,236928,,-4.58559286,61,164.83,4247,29,,,,,,,,,,,
5.0896043351756814,237000,160.4,,,,,,1150,0.6114986538887024,-0.04353837946546264,0.2,0.6548828125,1.8307527001947164,0.5498752,-1.6854591935873031,0.0003,0.02426624298095703,0.5502194166183472
-3.169656814906193,238000,159.8,,,,,,,,,,,,,,,,
,238976,,-4.47498173,62,164.83,4315,29,,,,,,,,,,,
6.664252055393445,239000,160.0,,,,,,1160,0.6871412992477417,-0.04718626789690461,0.2,0.683740234375,1.1394295985810459,0.5473718,-1.631812185049057,0.0003,0.01503317803144455,0.5350546836853027
4.8185794663702834,240000,159.8,,,,,,,,,,,,,,,,
1.3043989836296532,241000,160.2,,,,,,,,,,,,,,,,
,241024,,-3.86736926,63,163.25,4399,29,,,,,,,,,,,
4.74814852084819,242000,160.4,,,,,,1170,0.629267156124115,-0.028006739969714544,0.2,0.6984375,0.8765337652992458,0.5888824,-1.5760785009711982,0.0003,0.05082997679710388,0.5225643515586853
4.36050623814881,243000,160.0,,,,,,,,,,,,,,,,
,243072,,-3.8827518399999996,64,162.77,4468,29,,,,,,,,,,,
2.2453170004780985,244000,161.0,,,,,,1180,0.6258463859558105,-0.041114685247885065,0.2,0.71630859375,0.7928304299479351,0.7150407,-1.5210743941366673,0.0003,-0.011536665260791779,0.503420352935791
4.085964964812592,245000,160.0,,,,,,,,,,,,,,,,
,245120,,-2.96465192,65,162.29,4536,29,,,,,,,,,,,
6.365336827829742,246000,159.4,,,,,,1190,0.7295042872428894,-0.04143925465468783,0.2,0.678173828125,0.9638687267201022,0.6669996,-1.4499911546707154,0.0003,0.0022775456309318542,0.49032485485076904
4.363291669102909,247000,159.4,,,,,,,,,,,,,,,,
,247168,,-2.5899327200000006,66,162.15,4604,29,,,,,,,,,,,
2.202950831832277,248000,160.4,,,,,,1200,0.6325697600841522,-0.050496123201446606,0.2,0.701513671875,1.0741390110226348,0.84415364,-1.386520505696535,0.0003,-0.03072357177734375,0.47212010622024536
0.3947675627488934,249000,159.8,,,,,,,,,,,,,,,,
,249216,,-2.46085418,67,161.67,4673,29,,,,,,,,,,,
5.433393995420192,250000,159.4,,,,,,1210,0.6420319676399231,-0.04598243606451433,0.2,0.696875,0.8082932207267731,0.7641579,-1.30413518846035,0.0003,-0.04514958709478378,0.45120102167129517
6.342191454894783,251000,159.4,,,,,,,,,,,,,,,,
,251264,,-1.6382050000000004,68,162.8,4740,29,,,,,,,,,,,
0.49445145999270607,252000,160.6,,,,,,1220,0.6142527759075165,-0.033667724500992334,0.2,0.704736328125,0.9611221625702455,0.70649654,-1.2344769544899463,0.0003,0.005053006112575531,0.44022336602211
5.589013868686743,253000,159.8,,,,,,,,,,,,,,,,
,253312,,-0.1218056700000001,69,162.32,4808,29,,,,,,,,,,,
-0.6178505250711168,254000,160.8,,,,,,1230,0.6579405069351196,-0.03215475633915048,0.2,0.730322265625,0.8668287032051012,0.7518268,-1.1662592865526675,0.0003,-0.007101781666278839,0.4225463271141052
3.112051466640696,255000,159.4,,,,,,,,,,,,,,,,
,255360,,0.5312264400000001,70,163.45,4876,29,,,,,,,,,,,
1.763935152315753,256000,160.4,,,,,,1240,0.6209115982055664,-0.039757723637740126,0.2,0.728955078125,0.8605758587014861,0.9946638,-1.1029581762850285,0.0003,0.06815363466739655,0.40981507301330566
-0.07399101957780659,257000,161.0,,,,,,,,,,,,,,,,
,257408,,0.58539091,71,163.56,4944,29,,,,,,,,,,,
-1.2150314289458037,258000,160.6,,,,,,1250,0.6806235015392303,-0.04073324800701812,0.2,0.71572265625,0.8055203450261615,1.0083103,-1.0286228900775314,0.0003,-0.06456983089447021,0.39321088790893555
-1.2346727387317515,259000,161.0,,,,,,,,,,,,,,,,
,259456,,0.9287640499999997,72,165.17,5011,29,,,,,,,,,,,
2.3282734782049372,260000,160.2,,,,,,1260,0.6699258685112,-0.045378328702645375,0.2,0.708544921875,0.9342890289379284,0.7603595,-0.9516818260774016,0.0003,0.013530291616916656,0.3805356025695801
0.1627567252224253,261000,160.4,,,,,,,,,,,,,,,,
,261504,,1.1323085700000002,73,165.11,5080,29,,,,,,,,,,,
2.3578107729896147,262000,160.4,,,,,,1270,0.6925317049026489,-0.029337432741886004,0.2,0.7578125,0.5984080881811679,1.0366642,-0.887323428876698,0.0003,-0.07670444250106812,0.36851465702056885
5.716452480453881,263000,160.4,,,,,,,,,,,,,,,,
,263552,,1.5208837800000001,74,163.22,5148,29,,,,,,,,,,,
4.8931409865843305,264000,160.0,,,,,,1280,0.779709979891777,-0.02824432547786273,0.2,0.7537109375,0.5216596214333549,1.0470383,-0.8260744923725725,0.0003,-0.06151387095451355,0.35798579454421997
3.3598603430022194,265000,160.4,,,,,,,,,,,,,,,,
,265600,,1.99135333,75,165.14,5216,29,,,,,,,,,,,
3.0657708019309213,266000,160.0,,,,,,1290,0.7482092678546906,-0.02819094886363018,0.2,0.740283203125,0.5603094174526632,1.2882075,-0.7631738426163792,0.0003,-0.004317864775657654,0.3471546173095703
3.4126441481435905,267000,159.8,,,,,,,,,,,,,,,,
,267648,,1.9250704700000003,76,164.79,5285,29,,,,,,,,,,,
-0.7542949598748236,268000,161.0,,,,,,1300,0.7598277181386948,-0.03458815344783943,0.2,0.7416015625,0.6266446532681584,1.008898,-0.7032099280506372,0.0003,0.05116957798600197,0.3350655138492584
-0.8709751311514993,269000,160.6,,,,,,,,,,,,,,,,
,269696,,1.69529744,77,163.29,5354,29,,,,,,,,,,,
